english,uzbek,part_of_speech,cefr,cefr_source,source_name,source_license,source_ref
a,amper,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108363
boaster,maqtanchoq|iskanasimon asbob,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88678
boastful,kekkaygan|maqtanchoq|kibr-havosi baland|maqtanchoqlik bilan aytilgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i10370
boastfulness,manmanlik|mag'rurlik|kekkayishlik|shuhratparastlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62671
boasting,maqlanchoqlik|maqtanchoqlik|katla gapirish|katta og'izlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74656
boat,qayiq,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50885|i54417
boater,matros|qayiqchi|dengizchi|esh-kakchi|qayiq haydovchi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50887|i88609
boating,qayiq sporti|yaxtada suzish|yaxtada yurish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i37067
boatswain,bolsman,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88610
bob,qalqi|po'kak|shilling,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108694|i50894
bobber,qalqi|po'kak,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50894
bobbin,kalava|g'altak,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50896
bobble,tili gapga kelmay qolmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i34345
bobby,politsiyachi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88613
bobby pin,ushlab olish|soch to'g'nag'ichi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50897
bobbysock,oyoq bilakuzugi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50028
bobbysocks,oyoq bilakuzugi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50028
bobfloat,qalqi|po'kak,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50894
bobwhite,kaklik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i44790
bobwhite quail,kaklik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i44790
boche,nemis|vahshiy,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i87962
bock,o'tkir nemis pivosi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i78687
bock beer,o'tkir nemis pivosi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i78687
bod,shakl|go'sht|qiyofa|shassi|skelet|qobirg'a|tuzilish|ust-bosh,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i64383
bodacious,mard|botir|jasur|bezbet|surbel|yuzsiz|niqob-siz|tili uzun,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i840
bode,anglatmoq|bashoral qilmoq|bashorat qilmoq|oldindan aylmoq|oldindan aytmoq|oldindan aytib bermoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i25984
bodge,tili gapga kelmay qolmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i34345
bodice,korsaj,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50902
bodied,jismoniy|tanga oid|uyushmaga oid|timsol bo'la oladigan|o'zida mujassamlantirgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i3508
bodiless,jismsiz|tanasiz|tanadan tashqari,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i3502|i3511
bodily,moddiy|jismoniy|tanga oid,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i9761
bodily cavity,chuqur|chuqurcha,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i64828
bodily function,faoliyat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107378
bodily process,faoliyat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107378
bodily structure,tuzilish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i64419
boding,oldindan sezish|ko'ngilga kelish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i76282
bodkin,odam tanasi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50903|i50904|i50905|i57533
body,zichlik|qalinlik|ketma-ketlik|daraxtning tanasi,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62912|i66083
body forth,isbotlamoq|tasdiqlamoq|mustahkamlamoq|gavdtilantirmoq|mujassamlantirmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i35148
body of water,suv,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i85104
body of work,ish|mehnat|xizmat|yumush|faoliyat|shoh asar,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i56696
body politic,el|yer|elat|xalq|shtat|davlat|millat|mamlakat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i80079
body process,faoliyat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107378
body structure,tuzilish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i64419
body suit,triko,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i55632
body waste,bavl|ajralish|chiqarindi|ajralib olish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i115114
body-build,tuzilish|qaddi qomat|gavda bichimi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i63273
bodyless,tanasiz,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i3502
boeotian,qo'rs|qo'pol,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i17261
boeuf,mol go'shti,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i77197
boffin,olim|oqimishli,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88618
bog,botqoq,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i85105
bogey,jin|ajina|aravacha|qo'rqitadigan|vahimaga soladigan narsa,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108140|i50915|i86807
boggle,shikast yetkazmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i25330
boggy,serbotqoq|serko'lmak|botqoqlikka oid|botqoqlik joylari ko'p bo'lgan|botqoq lik joy lari ko'p bo'lgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i14137
bogie,jin|ajina|aravacha|qo'rqitadigan|vahimaga soladigan narsa,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50915|i86807
bogus,amei,adjective,C2,Octanove C1/C2,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i6128
bogy,jin|ajina|aravacha|qo'rqitadigan|vahimaga soladigan narsa,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50915|i86807
bohemian,lo'li,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i90372
boil,qaynash|qaynash nuqtasi,noun,A2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i111429|i63350
boil down,jamlamoq|to'plamoq|kamaytirmoq|qisqartirmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i22904|i22905|i22907
boiled,qaynatilgan,adjective,A2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i3422
boiler,metall choynak,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i55356
boilers suit,ish kiyimi|ishga kiyiladigan xalat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i56827
boilersuit,ish kiyimi|ishga kiyiladigan xalat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i56827
boiling,qaynash,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107379|i36694
boiling point,qaynash|qaynash nuqtasi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i63350
boisterous,yovuz|dag'al|kuchli|qattiq|badhazm|jizzaki|serjahl|itoatsiz|yirtqich|shiddatli|jahli yomon|so'zL bad-jahl,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12611|i1685|i9140
bold,qo'rqmas|nisbiy emas|qiyos qilinmasdan olingan,adjective,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i1392|i3231|i6265
boldly,dadillik bilan,adverb,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i19407
boldness,asab|nerv|yonoq|chidam|bashara|jasorat|botirlik|dadillik|jasurlik|ja-surlik|sariq mis,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62416|i62521
bole,daraxtning tanasi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i105859
bolero,bolero,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i38168|i50920|i73749
bolivar,bolivar,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108528
bolivian,Boliviya va boliviyaliklarga oid,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i16927
bollard,tumba|ustuncha,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50921
bollix,tili gapga kelmay qolmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i34345
bollix up,tili gapga kelmay qolmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i34345
bollock,orxis|solib|koplok,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i65957
bollocks,tili gapga kelmay qolmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i34345
bollocks up,tili gapga kelmay qolmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i34345
boloney,aldash|safsata|uydirma|yolg'on|bema'ni gap|yolg'on gap|firib berish|yolg'on-yashiq,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i71208
bolshy,injiq|o'jar|qaysar,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12889
bolster,qo'llab-quvvatlamoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i22840|i23339|i27718
bolster up,qo'llab-quvvatlamoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i22840
bolt,keskin|zichlab|qat'iyan|uzil-kesil|mahkam siqib|keskinlik bilan,adverb,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i19480
bolt,tez harakat|momaqaldiroqning guldurashi,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i38315|i98135
bolt,yemoq|qochib ketmoq|qochib qolmoq|qutulib qolmoq|paqqos tushirmoq|jig'ildonga urmoq,verb,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i27487|i32116
bolt of lightning,momaqaldiroqning guldurashi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i98135
bolt-hole,panogoh|boshpana,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i85107
bomb,bomba|kurka,noun,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50934|i50937|i75397
bomb,bombardimon qilmoq|muvaffaqiyatsizlikka uchramoq,verb,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i27260|i34327
bomb calorimeter,bomba,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50937
bombard,bombardimon qilmoq,verb,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i23185|i25947|i27260|i29262
bombardier,bombardir,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88623|i88624
bombardment,g'ov|damba|barroj|to'siq|batareya|bomba tashlash|shiddatli hujum,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i40523|i40568|i73873
bombast,dabdabali nutq|balandparvoz gaplar|balandparvozgaplargapirish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i73897
bombastic,azim|zo'r|katla|uIkan|yirik|shishgan|notiqlikka oid|shishib ketgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i11050
bomber,pona|suv osti kemasi|maydalash mashinasi,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i77439
bombilation,g'uvullash|g'uvullagan ovoz,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i75465
bombination,g'uvullash|g'uvullagan ovoz,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i75465
bombing,bomba tashlash,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i40523|i40530
bombshell,momaqaldiroqning guldurashi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i75042
bon ton,jamiyat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i81188
bon vivant,epikuretis|epikureizm taraf-dori,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i89783
bona fide,aniq|beshak|begumon|haqiqiy|so'zsiz|vijdonli|shubhasiz,adjective,C2,Octanove C1/C2,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i11983|i6120
bonanza,meva|ho'l meva|gullab yashnash|gumburlagan qattiq ovoz|favqulodda sodir bo'lgan baxtli hodisa,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i76030|i85108
bonasa umbellus,kaklik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i44750
bonce,qubba|ravoq|gumbaz|loviya|qiya shipli boloxona,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i66029
bond,aloqa|xalal|kishan|to'siq|zanjir|ittifoq|kafolat|xalaqit|yopishish|shiralilik|to's-qinlik|yopishqoqlik|yelimlab ulash,noun,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i106864|i107251|i109385|i114704|i50246|i58722|i62916|i97685
bond,yopishtirmoq,verb,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i34392
bond certificate,aloqa,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107251
bond paper,aloqa,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i114704
bondage,qullik|quldorlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i110492|i110493|i39838
bondmaid,qul ayol,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88630|i88631
bondswoman,qul ayol,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88630|i88631
bondwoman,qul ayol,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88630|i88631
bone,dur|inju|marvarid,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i63045
bonehead,ahmoq|nodon|tentak,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i89659
boneheaded,yo'g'on,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i2480
boneless,irodasiz,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i1644
boner,yamoq|yomon ish|qo'pol xato,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i35801
bones,qayroq,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50948
boney,oriq|qotma|ozg'in|begona o'ldek o'sadigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i5420
bonfire,signal chirog'i,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i75067
bonhomie,ezgulik|yaxshilik|mehribonlik|xushmuomalalik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i61526
boniface,xo'jayin|restoran egasi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i90577
boniness,oriqlik|ozib ketish|ozib-to'zish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i63293
bonkers,jinni|telba|muattar|ahmoqona|xushbo'y|yorilgan|ahmoqlarcha|darz ketgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i11366
bonnie,ko'rkam|koLrkli|chiroyli|ko'zga yoqadigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i1198
bonny,ko'rkam|koLrkli|chiroyli|ko'zga yoqadigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i1198
bonus,mayl|istak|xohish|chertki|chertish,noun,A2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i106412|i67514
bony,oriq|qotma|ozg'in|begona o'ldek o'sadigan,adjective,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i5420
bonyness,oriqlik|ozib ketish|ozib-to'zish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i63293
boo,nido|qush|na'ra|undov|malina|hayqiriq|parranda|xo'jag'at,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74097
boo-boo,yamoq|yomon ish|qo'pol xato,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i35801
boob,ko'ks|laqma|siyna|ko'krak|tentaklik|soddadil odam|eshik bolg'achasi|eshikni taqillaladigan odam,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i66106|i89657
boob,ahmoqona xato qilmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i34524
boob tube,televideniya,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i60090
booby,laqma|tentaklik|soddadil odam,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i46188|i89657
booby hatch,sanatoriya|dam olish va davolanish maskani,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50644
booby trap,tuzoq|qopqon|ko 'chin|pistirma,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i55519|i66812
boodle,non|qand|karam|salat|xamir|karam sho'rva|tirnalgan joy|chig'anoqdan bo'lgan marjon|badanga yopishib turadigan uzun palto,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107060|i37973
book,tom|hajm|jild|kitob|yozuv|ko'lam|miqdor|dastxat|kadastrdaftari,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107179|i50953|i50954|i70092|i70180|i70293|i71357|i73498|i79110|i79111
book binding,orqa|muqova,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50775
book lover,kitobsevar,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88554
book matches,xavfsiz gugurt,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i58397
book of account,kitob,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107179
book of facts,eslash|tilga olish|aytih o'tish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i70219
book of maps,geografik atlas,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i70271
bookbinder,muqovalovchi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88636
bookbinding,muqovalash ishi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i38615
bookcase,kitob javoni,noun,A2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i50957
