english,uzbek,cefr,source_name,source_license,part_of_speech,source_ref
a,amper,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i108363
dictionary,lug'at,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i70226
die,oshiq o'yini,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i52865
die,bitmoq|o'lmoq|o'tmoq|to'lmoq|tugamoq|vafot etmoq|bezor qilmoq|jonga tegmoq|vafot et-moq|halok bo'lmoq|muvaffaqiyatsizlikka uchramoq,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i22844|i23510|i23529|i23899|i24426|i26961|i29503|i30658|i30659|i30874|i32310
diet,oziq|taom|ovqal,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i41022|i76482|i76483|i80847
differ,farq qilmoq|ajralib turmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i25694|i34997
difference,bahs|farq|ayirma|og'ish|ixtilof|jo'nash|tafovut|muhokama|muzokara|jo'nab ketish|chetga chiqish,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i109009|i109757|i61982|i74396|i75403
different,turli|bo'lak|boshqa,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i11325|i11343|i11345|i2758
difficulty,mushkullik|qiyinchilik,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i38702|i61801
diffuse,yumshoq|yoyilgan,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,adjective,i3026|i3068|i6334
diffuse,kirmoq|yoymoq|ay lanmoq|bolalamoq|ko'paymoq|tarqatmoq|to'ydirmoq|taqsimlamoq|to'yg'izmoq|joriy qilmoq|kengaytirmoq|ichiga kirmoq|ichiga o'tmoq|kirib o'tib ketmoq,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,verb,i26436|i27769
dig,o'yish|qiltiq|qiltanoq|qarsillashi|masxara qilish|birovning ustidan kulish,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i40355|i72054|i81910
dig,qazimoq|kovlamoq|tushunib yetmoq|qazib chu-qurlashtirmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i24708|i27772|i28232|i28237|i28239|i31215|i32472|i33834
digest,chidamoq|ehidamoq|jamlamoq|to'plamoq|azob tortmoq|toqat qilmoq|bardosh bermoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i22940|i25064
dignify,loyiq topmoq|fazilatlarini oshirmoq|ma'naviy jihatdan yaxshila-moq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i24460|i34430
dignity,qadr-qimmat|o'z qadrini bilish,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i112843|i62669|i62794
dilemma,qiyin ahvol,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i66796
diligence,qunt|ariza|g'ayrat|harakat|ishtiyoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i38755|i61614|i62553
diligent,tirishqoq|g'ayratchan,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i4172|i9530
dim,gung|qora|xira|anqov|ochiq|mujmal|noaniq|nursiz|o'tmas|ongsiz|bema'ni|to'mtoq|noma'lum|o'zgarib turadigan|shamoldan bekitilmagan,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i1539|i1581|i2482|i4310|i6725
dimension,xossa|xislat|fazilat|xususiyat|proporsiya,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i63749|i67611
diminish,kamsitmoq|kamaytirmoq|yerga urmoq|qisqartirmoq,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,verb,i22469|i23933
dining room,ovqatxona,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i52922
dinner,tushlik|tushki ovqat,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i76571|i80506
dinosaur,dinozavr,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i44243
dip,mayil|tomchi|ko'ngil|pishish|botirish|ishliyoq|kissavur,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i109947|i110012|i37682|i37727|i52938|i63859|i75392|i76612|i92019
dip,botmoq|cho'kmoq|suvga kirmoq|g'arq bo'lmoq|suvgasho'ng'imoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i29612|i31609|i31941
diphtheria,bo'g'ma|difteriya,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i111150
diploma,diplom|qo'y teri|ishlangan qo'y terisi,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i70502
diplomat,diplomat,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i89525|i89526
direct,to'g'ri,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adverb,i18442
direct,yubormoq|jo'natmoq|hisoblamoq|tasdiqlamoq|uyushtirmoq|tashkil qilmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i25255|i25270|i27377|i31378|i31486
direction,yo'l|manba|taraf|tomon|markaz|vakolat|boshqarma|yo'nalish|ma'muriyat|muhokama qilish|markazlashtirish,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i109570|i39691|i41343|i66888|i69097|i71431|i72152|i74329|i82556
directly,hozir|darhol|darrov|shartta|to'g'ri|shu zahoti|shu ondayoq|kechiktirmay,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adverb,i18424|i18442|i18485|i21668
director,mudir|direktor|konduktor|boshqaruvchi|chipta sotuvchi,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i89150|i89528|i89529|i89530|i89945
dirt,loy|yer|isnod|zamin|bo'yoq|tuproq|balchiq|befahm odam,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i113194|i115066|i115116|i74622
dirty,loy|xira|harom|iflos|nopok|nursiz|sassiq|badbo'y|noloyiq|bulg'anch|nomunosib|teng emas|yuqadigan|bulg'angan|rangi ketgan|shaffof emas,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i10467|i11583|i1688|i2378|i2405|i2415|i3461|i5252|i6816|i7651|i7666|i8699
dirty,bulg'amoq|kir qilmoq,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i29402
disability,xalal|to'siq|xalaqit|lo'sqinlik|qobiliyatsizlik|safdan chiqarish|qobiliyati yo'qlik,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i113455
disable,buzmoq|yaroqsiz qilmoq|ishdan chiqarmoq|huquqdan mahrum qilmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i22231|i24279
disabled,mayib bolib qolgan|majruh bo'lib qolgan,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i5575
disagree,farq qilmoq|ajralib turmoq,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i25694
disagreement,farq|ayirma|zidlik|ixtilof|tafovut|o'zgalik|ziddiyal|ziddiyat|har xillik|kelishmovchilik|qarama-qarshilik,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i110414|i61986|i74388
disappear,erimoq|bug'lamoq|yo'qolmoq|yo'q bo'lmoq|g'oyib bo'lmoq|bug'Iab tozalamoq|yo'q bo'lib ketmoq,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i22842|i23860|i23861|i32533
disappoint,ixlosini qaytarmoq|ko'nglini sovutmoq|hafsalasi pirbodmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i30727
disappointing,qoniqarsiz|qoniqtirmaydigan|qanoat hosil qilmaydigan,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i11409
disapproval,yoqtirmaslik|ma'qullamaslik|xush ko'rmaslik|ma'qullamaydigan fikr,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i39991|i69115|i71766|i76174
disapprove,qoralamoq|rad etmoq|yuz o'ginnoq|nomaqbul deb topmoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i25090|i25703
disaster,falokat|halokat|musibat|katta baxtsizlik|fojiali sahna asari,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i113078|i75130
disastrous,qora|muqarrar|halokatli|musibatli|peshanaga yozilgan,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i5747
discard,tashlamoq|joylashtirmoq|joy-joyiga qo'ymoq,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,verb,i32857
discharge,qop|yoy|otish|to'rva|uchqun|ozodlik|otishish|bo'shatish|ozod qilish|ajralib chiqqan narsa|qop-qanor tikiladigan malo,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i107504|i115104|i36052|i36540|i98092
discharge,quvmoq|oqlamoq|haydamoq|ozod qilmoq|quvib chiqarmoq|lo'g'ri deb lopmoq|og'ir yukni olib tashlamoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i22298|i26137
disciple,izdosh|shogird|o'quvchi,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i89534
discipline,dala|o'qish|o'tzor|tartib|ekinzor|intizom|o'rganish,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i40102|i41485|i62638|i66677|i68324
disco,diskoteka,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i52959
discomfort,sezuvchanlik|o'ta sezgirlik,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i76135
disconnect,uzish|ayirish|ajratish|bir-biridan judo qilish,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i62003
disconnect,uzmoq|ayirmoq|ajratmoq|uzib qo'ymoq|birbiridan judo qilmoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i28475|i28838
discount,ayirish|chiqarib tashlash|kamaytirilgan narx,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i106421|i106464|i37316
discount,mensi-maslik|qo'yib yubormoq|tarqatib yubormoq|e'tiborsiz qoldirmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i25679
discourage,aynitmoq|biror ishdan qaytarmoq,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i26155
discourse,til|bahs|nutq|pand|nasihat|davolash|muhokama|munozara|va'z o'qish|xutba o'qish|so'zlash qobiliyati,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i69535|i74176|i74738
discourse,bahslashmoq|muhokama qilmoq,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,verb,i26745
discover,ochmoq|ko'rmoq|qaramoq|ajratmoq|eshitmoq|uchramoq|aniqlamoq|linglamoq|fosh etmoq|ko'rsatmoq|farq qilmoq|tasvirlamoq|bilib olinoq|kashf qilmoq|ovoza qilmoq|oshkor qilmoq,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i24755|i24993|i26277|i29932|i32397|i32526|i33166
discovery,topildiq|kashfiyot|topilgan narsa,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i35636|i67404|i74571|i74572
discredit,yomon ot|badnomlik|obro'sini yo'qotish,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i112891
discredit,shubha qilmoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i25139
discriminate,tanimoq|ajratmoq|farq qilmoq|farqiga bormoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i24983|i32722|i34274
discrimination,farq|afzallik|farqIash|favoritizm|ortiq ko'rish|favorit-chilik,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i41447|i67110
discuss,bahslashmoq|muhokama qilmoq,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i25733|i26745
discussion,til|bahs|nutq|so'z|kalima|davolash|muhokama|munozara|so'zlash qobiliyati,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i74176|i74187
disdain,otaliq|homiylik|vasiylik|jirkanish|nafratlanish|himoya qilish|homiy bo'lish|ko'ngilchanlik|ko'ngli bo'shlik,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i71816|i76175
disdain,rad etmoq|yuz o'ginnoq,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,verb,i25662
disdainful,manman|nafrat|amirona|jirkanch|nafratli|takabbur|kalondiniog|buyruq tarzida|nafratni ifodalaydigan,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,adjective,i10372|i10926
disease,dard|og'riq|kasallik|xastalik,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i110874
disgrace,or|ibo|hayo|uyat|isnod|nomus|sharm|uyalish,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i112893
disgrace,o'zini tutmoq|tushkunlikka yuz tutmoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i30733
disguise,niqoblash,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i40908|i52962|i61642
disgusting,bemaza|sassiq|badbo'y|jirkanch|yoqimsiz|juda xunuk|juda yomon|jirkantiradigan,B1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i8897
dish,qop|idish|sumka|qopqon|chamadon|shaftoli|kishina hayron qoldiradigan nusxa,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i109234|i37670|i52963|i52964|i76476|i93085
dish,xizmat qilmoq,A1,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i27520
dishonest,noinsof|insofsiz|vijdonsiz|diyonatsiz|vijdoni yo'q|poraga uchadigan,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i3459|i6697
dishonesty,noinsoflik|diyonatsizlik,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i39375|i62600
disillusion,ixlosi qaytish|ko'ngil qolish|ko'ngli qolish|ko'n-gil sovish,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i68290
disillusion,ko'ngilni sovutmoq|ko'ngilni qoldirmoq|hafsalasini pir qilmoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i30813
disillusionment,ixlosi qaytish|ko'ngil qolish|ko'ngli qolish|ko'n-gil sovish,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i68290
dislike,yoqtirmaslik|ma'qullamaslik|xush ko'rmaslik|ma'qullamaydigan fikr,A2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,noun,i69115|i76167
dislodge,ketishga majbur qilmoq,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,verb,i29367|i29372|i31121
dismal,ko'k|qora|to'q|xira|moviy|zolim|nursiz|rahmsiz,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,adjective,i2018
dismay,vahima|dahshat|qo'rquv|qo'rqish|qo'rqinch,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i76270|i76391
dismay,buzmoq|qo'rqitmoq|bosibqo'ymoq|kuch bilan bosmoq|qattiq qo'rqitmoq|yanchib tashlamoq|qo'rqitib yubormoq|tushkunlikka solmoq,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,verb,i30647|i30799
dismiss,erilmoq|mensi-maslik|qo'yib yubormoq|tarqatib yubormoq|e'tiborsiz qoldirmoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i23427|i25679|i25682|i26120|i33760|i34050
disorder,chelga lortmoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i30562
disorderly,betartib|chalkash|tartibsiz|intizomsiz,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i13235|i13422|i9139
disparage,kamsitmoq|yerga urmoq,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,verb,i25870
disparagement,kamsitish|kamaytirish|mensimaslik|pasaytirish|bo'shashtirish|qadriga yetmaslik|yetarli baho bermaslik,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i41776|i71809
disparaging,haqoratomuz|kamsitadigan|yerga uradigan|obro'yini to'kadigan,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,adjective,i4965
dispensable,majburiy boMmagan,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,adjective,i4949
dispensary,dorixona,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,noun,i52982
dispense,bo'lmoq|tarqatmoq|boshqarmoq|taqsimlamoq|ishlami yuritmoq,C1,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,verb,i22177|i33203|i34373
disperse,yoymoq|ay lanmoq|bolalamoq|ko'paymoq|sochilmoq|tarqatmoq|taqsimlamoq|joriy qilmoq|kengaytirmoq|yoyilib ketmoq|haydab yubormoq|tarqatib yubormoq,C2,UzWordNet 1.1 + Open English WordNet 2025 + Octanove C1/C2,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; Octanove CC BY-SA 4.0,verb,i23387|i26436|i28590|i31886|i31893
displace,qo'yib yubormoq|tarqatib yubormoq,B2,UzWordNet 1.1 + Open English WordNet 2025 + CEFR-J 1.5,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0; CEFR-J attribution terms,verb,i33760
